guideid,guidename,phone,email,specialization,region,experienceyears
37,Guide_37,050-9942400,guide37@trip.com,Hiking,Jerusalem,13
38,Guide_38,050-2896148,guide38@trip.com,Extreme,South,25
39,Guide_39,050-9057175,guide39@trip.com,History,Jerusalem,10
40,Guide_40,050-3192738,guide40@trip.com,History,Center,29
41,Guide_41,050-2897586,guide41@trip.com,Extreme,Center,22
42,Guide_42,050-4605759,guide42@trip.com,Culinary,North,15
43,Guide_43,050-2705849,guide43@trip.com,Culinary,North,21
44,Guide_44,050-9093601,guide44@trip.com,History,Center,29
45,Guide_45,050-6375111,guide45@trip.com,Culinary,South,23
46,Guide_46,050-4151075,guide46@trip.com,Extreme,South,27
47,Guide_47,050-4499672,guide47@trip.com,Hiking,Center,5
48,Guide_48,050-4299375,guide48@trip.com,History,Center,20
49,Guide_49,050-7315753,guide49@trip.com,History,North,16
50,Guide_50,050-1065406,guide50@trip.com,Extreme,South,28
51,Guide_51,050-9761111,guide51@trip.com,Culinary,South,16
52,Guide_52,050-5661035,guide52@trip.com,History,Center,27
53,Guide_53,050-9895858,guide53@trip.com,Culinary,Center,8
54,Guide_54,050-2117508,guide54@trip.com,Extreme,Jerusalem,6
55,Guide_55,050-6517702,guide55@trip.com,Extreme,North,2
56,Guide_56,050-1556098,guide56@trip.com,Extreme,Jerusalem,13
57,Guide_57,050-9196436,guide57@trip.com,History,South,1
58,Guide_58,050-8751771,guide58@trip.com,Culinary,North,20
59,Guide_59,050-4922080,guide59@trip.com,Culinary,Jerusalem,19
60,Guide_60,050-4955642,guide60@trip.com,Hiking,South,15
61,Guide_61,050-8950338,guide61@trip.com,Culinary,South,28
62,Guide_62,050-9050426,guide62@trip.com,Extreme,North,23
63,Guide_63,050-4858907,guide63@trip.com,Hiking,Jerusalem,4
64,Guide_64,050-3374940,guide64@trip.com,History,South,12
65,Guide_65,050-2477767,guide65@trip.com,Extreme,North,5
66,Guide_66,050-5654811,guide66@trip.com,Culinary,North,8
67,Guide_67,050-4232110,guide67@trip.com,Hiking,Center,27
68,Guide_68,050-6026636,guide68@trip.com,Hiking,South,30
69,Guide_69,050-1983913,guide69@trip.com,History,South,10
70,Guide_70,050-4873581,guide70@trip.com,Culinary,South,24
71,Guide_71,050-3588540,guide71@trip.com,History,Center,8
72,Guide_72,050-3641861,guide72@trip.com,History,South,25
73,Guide_73,050-5147858,guide73@trip.com,Culinary,Center,17
74,Guide_74,050-4727872,guide74@trip.com,Hiking,South,24
75,Guide_75,050-6193714,guide75@trip.com,Culinary,Center,23
76,Guide_76,050-3660338,guide76@trip.com,Hiking,South,10
77,Guide_77,050-5339572,guide77@trip.com,Culinary,Jerusalem,6
78,Guide_78,050-8418210,guide78@trip.com,Extreme,North,28
79,Guide_79,050-2228121,guide79@trip.com,Culinary,North,11
80,Guide_80,050-3725665,guide80@trip.com,Hiking,North,26
81,Guide_81,050-9047766,guide81@trip.com,Hiking,North,1
82,Guide_82,050-3976528,guide82@trip.com,Hiking,North,4
83,Guide_83,050-1385786,guide83@trip.com,Hiking,Jerusalem,13
84,Guide_84,050-8049698,guide84@trip.com,Extreme,Jerusalem,5
85,Guide_85,050-3286545,guide85@trip.com,History,Center,20
86,Guide_86,050-1446643,guide86@trip.com,Extreme,North,15
87,Guide_87,050-6521170,guide87@trip.com,Extreme,South,1
88,Guide_88,050-6280622,guide88@trip.com,Extreme,North,25
89,Guide_89,050-8280539,guide89@trip.com,Hiking,South,29
90,Guide_90,050-1607182,guide90@trip.com,Hiking,Center,11
91,Guide_91,050-5980621,guide91@trip.com,Culinary,Center,19
92,Guide_92,050-7660360,guide92@trip.com,History,North,12
93,Guide_93,050-5352415,guide93@trip.com,Extreme,North,11
94,Guide_94,050-8345374,guide94@trip.com,Culinary,Jerusalem,17
95,Guide_95,050-3026899,guide95@trip.com,Hiking,Jerusalem,4
96,Guide_96,050-7057670,guide96@trip.com,Hiking,Center,21
97,Guide_97,050-8776395,guide97@trip.com,Culinary,Jerusalem,18
98,Guide_98,050-4741811,guide98@trip.com,Culinary,Center,5
99,Guide_99,050-4429970,guide99@trip.com,Culinary,South,2
100,Guide_100,050-6044200,guide100@trip.com,Extreme,South,3
101,Guide_101,050-6069835,guide101@trip.com,Extreme,Jerusalem,9
102,Guide_102,050-6568932,guide102@trip.com,Hiking,North,18
103,Guide_103,050-8155648,guide103@trip.com,Culinary,Center,10
104,Guide_104,050-2405714,guide104@trip.com,Extreme,Center,23
105,Guide_105,050-2305983,guide105@trip.com,History,South,28
106,Guide_106,050-8772317,guide106@trip.com,History,Center,21
107,Guide_107,050-9045258,guide107@trip.com,History,Jerusalem,29
108,Guide_108,050-9930610,guide108@trip.com,Extreme,South,17
109,Guide_109,050-2195466,guide109@trip.com,Culinary,South,6
110,Guide_110,050-1549166,guide110@trip.com,Hiking,North,17
111,Guide_111,050-8429364,guide111@trip.com,Culinary,North,7
112,Guide_112,050-1368959,guide112@trip.com,Extreme,Center,14
113,Guide_113,050-1668922,guide113@trip.com,Hiking,North,10
114,Guide_114,050-3023890,guide114@trip.com,Extreme,South,23
115,Guide_115,050-7843059,guide115@trip.com,Hiking,North,16
116,Guide_116,050-2525918,guide116@trip.com,Extreme,Center,14
117,Guide_117,050-8648888,guide117@trip.com,Hiking,South,14
118,Guide_118,050-5106206,guide118@trip.com,Extreme,North,23
119,Guide_119,050-1575029,guide119@trip.com,History,Jerusalem,1
120,Guide_120,050-7340145,guide120@trip.com,Extreme,South,10
121,Guide_121,050-8133901,guide121@trip.com,History,South,29
122,Guide_122,050-7505089,guide122@trip.com,Hiking,Jerusalem,8
123,Guide_123,050-4923442,guide123@trip.com,Culinary,Center,28
124,Guide_124,050-2609057,guide124@trip.com,Culinary,Center,6
125,Guide_125,050-4343935,guide125@trip.com,History,Jerusalem,18
126,Guide_126,050-5504055,guide126@trip.com,Culinary,Center,9
127,Guide_127,050-8542014,guide127@trip.com,History,Center,7
128,Guide_128,050-8456377,guide128@trip.com,Hiking,Center,2
129,Guide_129,050-9450662,guide129@trip.com,Culinary,North,25
130,Guide_130,050-5681367,guide130@trip.com,Culinary,South,8
131,Guide_131,050-4909210,guide131@trip.com,Extreme,Jerusalem,12
132,Guide_132,050-3978211,guide132@trip.com,Culinary,South,28
133,Guide_133,050-9781626,guide133@trip.com,Culinary,South,23
134,Guide_134,050-7489779,guide134@trip.com,Extreme,South,14
135,Guide_135,050-9024429,guide135@trip.com,Hiking,Center,27
136,Guide_136,050-5053497,guide136@trip.com,Extreme,Center,2
137,Guide_137,050-8346489,guide137@trip.com,Culinary,Center,3
138,Guide_138,050-2678064,guide138@trip.com,History,Center,5
139,Guide_139,050-4759113,guide139@trip.com,Culinary,Jerusalem,20
140,Guide_140,050-1342968,guide140@trip.com,History,Jerusalem,11
141,Guide_141,050-4111220,guide141@trip.com,History,Jerusalem,27
142,Guide_142,050-3296874,guide142@trip.com,History,Jerusalem,22
143,Guide_143,050-5308234,guide143@trip.com,Hiking,North,29
144,Guide_144,050-8463789,guide144@trip.com,History,Center,14
145,Guide_145,050-6585305,guide145@trip.com,Hiking,South,16
146,Guide_146,050-3164372,guide146@trip.com,History,North,21
147,Guide_147,050-5905939,guide147@trip.com,Hiking,North,14
148,Guide_148,050-8298893,guide148@trip.com,Hiking,North,16
149,Guide_149,050-5843391,guide149@trip.com,Extreme,South,26
150,Guide_150,050-7412391,guide150@trip.com,Extreme,Jerusalem,26
151,Guide_151,050-3237772,guide151@trip.com,Hiking,North,6
152,Guide_152,050-5216550,guide152@trip.com,Hiking,Jerusalem,28
153,Guide_153,050-3047605,guide153@trip.com,Culinary,Jerusalem,12
154,Guide_154,050-2369259,guide154@trip.com,Culinary,South,7
155,Guide_155,050-1095635,guide155@trip.com,History,South,24
156,Guide_156,050-5611948,guide156@trip.com,History,Center,28
157,Guide_157,050-7475162,guide157@trip.com,Extreme,South,16
158,Guide_158,050-1379377,guide158@trip.com,Culinary,South,24
159,Guide_159,050-5782511,guide159@trip.com,Extreme,South,1
160,Guide_160,050-7647286,guide160@trip.com,Culinary,Jerusalem,2
161,Guide_161,050-7416508,guide161@trip.com,Culinary,Jerusalem,12
162,Guide_162,050-6537714,guide162@trip.com,Hiking,Center,26
163,Guide_163,050-6955295,guide163@trip.com,History,North,16
164,Guide_164,050-4273140,guide164@trip.com,Culinary,South,26
165,Guide_165,050-9306765,guide165@trip.com,Culinary,Jerusalem,21
166,Guide_166,050-7175636,guide166@trip.com,Extreme,North,22
167,Guide_167,050-1568362,guide167@trip.com,History,Center,27
168,Guide_168,050-7156874,guide168@trip.com,History,Jerusalem,1
169,Guide_169,050-4175413,guide169@trip.com,Culinary,Center,7
170,Guide_170,050-4526314,guide170@trip.com,History,Center,3
171,Guide_171,050-2336022,guide171@trip.com,History,North,10
172,Guide_172,050-2392109,guide172@trip.com,History,Jerusalem,22
173,Guide_173,050-2600657,guide173@trip.com,History,North,13
174,Guide_174,050-9671924,guide174@trip.com,History,Center,19
175,Guide_175,050-7961963,guide175@trip.com,History,South,23
176,Guide_176,050-1137690,guide176@trip.com,Culinary,South,12
177,Guide_177,050-6880729,guide177@trip.com,Culinary,Center,15
178,Guide_178,050-8296641,guide178@trip.com,Culinary,Center,18
179,Guide_179,050-9853333,guide179@trip.com,Extreme,South,23
180,Guide_180,050-7548795,guide180@trip.com,Culinary,Center,2
181,Guide_181,050-4993938,guide181@trip.com,History,North,1
182,Guide_182,050-1022073,guide182@trip.com,Hiking,Center,15
183,Guide_183,050-9238477,guide183@trip.com,Culinary,South,14
184,Guide_184,050-3187626,guide184@trip.com,Culinary,North,24
185,Guide_185,050-2696542,guide185@trip.com,Hiking,Center,4
186,Guide_186,050-4141773,guide186@trip.com,Culinary,Center,5
187,Guide_187,050-6673584,guide187@trip.com,Extreme,Center,21
188,Guide_188,050-5365615,guide188@trip.com,Hiking,Center,7
189,Guide_189,050-4821572,guide189@trip.com,History,Jerusalem,7
190,Guide_190,050-7539445,guide190@trip.com,Hiking,Jerusalem,20
191,Guide_191,050-5206805,guide191@trip.com,History,North,16
192,Guide_192,050-7889785,guide192@trip.com,Extreme,Center,2
193,Guide_193,050-6913611,guide193@trip.com,Hiking,Center,9
194,Guide_194,050-2387908,guide194@trip.com,Extreme,South,9
195,Guide_195,050-7676946,guide195@trip.com,History,South,27
196,Guide_196,050-8681026,guide196@trip.com,Extreme,Jerusalem,7
197,Guide_197,050-2163867,guide197@trip.com,History,Jerusalem,20
198,Guide_198,050-7803285,guide198@trip.com,Culinary,Center,29
199,Guide_199,050-2626879,guide199@trip.com,Culinary,Jerusalem,22
200,Guide_200,050-7572086,guide200@trip.com,Culinary,South,21
201,Guide_201,050-6555975,guide201@trip.com,Extreme,South,10
202,Guide_202,050-3273317,guide202@trip.com,Hiking,Center,17
203,Guide_203,050-6634814,guide203@trip.com,Extreme,Jerusalem,20
204,Guide_204,050-5997128,guide204@trip.com,Culinary,North,1
205,Guide_205,050-6416198,guide205@trip.com,Culinary,Jerusalem,9
206,Guide_206,050-8425383,guide206@trip.com,History,Center,16
207,Guide_207,050-1724791,guide207@trip.com,Extreme,South,19
208,Guide_208,050-9794387,guide208@trip.com,Hiking,Jerusalem,16
209,Guide_209,050-7288378,guide209@trip.com,Culinary,Center,17
210,Guide_210,050-2338945,guide210@trip.com,Hiking,North,8
211,Guide_211,050-9028943,guide211@trip.com,Culinary,Jerusalem,30
212,Guide_212,050-4031903,guide212@trip.com,History,South,26
213,Guide_213,050-3429096,guide213@trip.com,Culinary,South,16
214,Guide_214,050-4168147,guide214@trip.com,History,Center,11
215,Guide_215,050-6219847,guide215@trip.com,Hiking,Center,22
216,Guide_216,050-9208558,guide216@trip.com,Extreme,North,17
217,Guide_217,050-9762814,guide217@trip.com,Culinary,Jerusalem,9
218,Guide_218,050-8098481,guide218@trip.com,Culinary,South,28
219,Guide_219,050-8399921,guide219@trip.com,History,South,1
220,Guide_220,050-5952564,guide220@trip.com,History,South,12
221,Guide_221,050-6744519,guide221@trip.com,Culinary,South,5
222,Guide_222,050-4005356,guide222@trip.com,Hiking,Center,9
223,Guide_223,050-1611435,guide223@trip.com,Culinary,North,2
224,Guide_224,050-7431821,guide224@trip.com,History,Jerusalem,13
225,Guide_225,050-7408771,guide225@trip.com,History,South,18
226,Guide_226,050-2483194,guide226@trip.com,Hiking,Center,22
227,Guide_227,050-5982370,guide227@trip.com,Hiking,Center,22
228,Guide_228,050-2350799,guide228@trip.com,Hiking,South,15
229,Guide_229,050-6203473,guide229@trip.com,Hiking,South,5
230,Guide_230,050-6085283,guide230@trip.com,Hiking,South,8
231,Guide_231,050-1798697,guide231@trip.com,Extreme,South,7
232,Guide_232,050-9658460,guide232@trip.com,Culinary,North,29
233,Guide_233,050-9895031,guide233@trip.com,Culinary,North,18
234,Guide_234,050-4455706,guide234@trip.com,History,North,2
235,Guide_235,050-9064041,guide235@trip.com,History,Center,6
236,Guide_236,050-1228728,guide236@trip.com,Extreme,Jerusalem,30
237,Guide_237,050-2946444,guide237@trip.com,Hiking,Center,26
238,Guide_238,050-7135552,guide238@trip.com,Hiking,North,9
239,Guide_239,050-1618536,guide239@trip.com,Extreme,Jerusalem,9
240,Guide_240,050-8976742,guide240@trip.com,Hiking,Center,1
241,Guide_241,050-9948140,guide241@trip.com,Hiking,Center,13
242,Guide_242,050-8657950,guide242@trip.com,Hiking,Center,12
243,Guide_243,050-4831960,guide243@trip.com,History,Center,27
244,Guide_244,050-7487346,guide244@trip.com,Culinary,South,24
245,Guide_245,050-3231134,guide245@trip.com,History,Center,24
246,Guide_246,050-6062744,guide246@trip.com,History,South,11
247,Guide_247,050-2426951,guide247@trip.com,Extreme,North,30
248,Guide_248,050-1316414,guide248@trip.com,Hiking,South,17
249,Guide_249,050-5702812,guide249@trip.com,History,Center,19
250,Guide_250,050-9116175,guide250@trip.com,Extreme,Jerusalem,28
251,Guide_251,050-4084091,guide251@trip.com,Hiking,South,26
252,Guide_252,050-7528476,guide252@trip.com,Culinary,North,2
253,Guide_253,050-5546518,guide253@trip.com,History,Jerusalem,8
254,Guide_254,050-8145323,guide254@trip.com,Hiking,North,24
255,Guide_255,050-2593549,guide255@trip.com,Extreme,Jerusalem,1
256,Guide_256,050-9012585,guide256@trip.com,History,North,15
257,Guide_257,050-9436937,guide257@trip.com,Hiking,South,4
258,Guide_258,050-9746910,guide258@trip.com,Hiking,South,28
259,Guide_259,050-8475941,guide259@trip.com,Culinary,Jerusalem,29
260,Guide_260,050-2537573,guide260@trip.com,History,Jerusalem,15
261,Guide_261,050-2665788,guide261@trip.com,Hiking,North,29
262,Guide_262,050-6388400,guide262@trip.com,Extreme,South,4
263,Guide_263,050-3213913,guide263@trip.com,History,Jerusalem,29
264,Guide_264,050-8986349,guide264@trip.com,Hiking,Center,25
265,Guide_265,050-1695143,guide265@trip.com,Culinary,South,25
266,Guide_266,050-5427421,guide266@trip.com,Extreme,South,22
267,Guide_267,050-3532151,guide267@trip.com,Hiking,Center,12
268,Guide_268,050-3606096,guide268@trip.com,History,South,1
269,Guide_269,050-5213034,guide269@trip.com,Hiking,Center,19
270,Guide_270,050-7388259,guide270@trip.com,Extreme,South,15
271,Guide_271,050-6941374,guide271@trip.com,Culinary,Jerusalem,29
272,Guide_272,050-9712890,guide272@trip.com,Culinary,North,20
273,Guide_273,050-6433454,guide273@trip.com,History,Jerusalem,14
274,Guide_274,050-4619001,guide274@trip.com,Culinary,North,30
275,Guide_275,050-8292096,guide275@trip.com,History,Jerusalem,25
276,Guide_276,050-8531691,guide276@trip.com,Extreme,Center,13
277,Guide_277,050-5604490,guide277@trip.com,Extreme,Jerusalem,4
278,Guide_278,050-7115131,guide278@trip.com,Extreme,South,17
279,Guide_279,050-3486715,guide279@trip.com,History,Center,30
280,Guide_280,050-6987249,guide280@trip.com,Hiking,Jerusalem,18
281,Guide_281,050-3883728,guide281@trip.com,Extreme,Jerusalem,6
282,Guide_282,050-6023942,guide282@trip.com,Culinary,South,29
283,Guide_283,050-2689399,guide283@trip.com,Extreme,Center,28
284,Guide_284,050-9578395,guide284@trip.com,Culinary,North,15
285,Guide_285,050-4277844,guide285@trip.com,Culinary,Center,15
286,Guide_286,050-9238891,guide286@trip.com,Culinary,Jerusalem,7
287,Guide_287,050-7370944,guide287@trip.com,History,Jerusalem,19
288,Guide_288,050-8177077,guide288@trip.com,History,Center,3
289,Guide_289,050-1636011,guide289@trip.com,History,Center,14
290,Guide_290,050-8790161,guide290@trip.com,Hiking,Jerusalem,11
291,Guide_291,050-6289029,guide291@trip.com,Extreme,North,14
292,Guide_292,050-5203275,guide292@trip.com,Hiking,Center,23
293,Guide_293,050-5024131,guide293@trip.com,History,South,23
294,Guide_294,050-3475196,guide294@trip.com,Hiking,Jerusalem,15
295,Guide_295,050-6274575,guide295@trip.com,Extreme,North,26
296,Guide_296,050-7159202,guide296@trip.com,Hiking,Jerusalem,25
297,Guide_297,050-8754755,guide297@trip.com,Extreme,Center,24
298,Guide_298,050-9699250,guide298@trip.com,Extreme,South,8
299,Guide_299,050-5936022,guide299@trip.com,History,North,30
300,Guide_300,050-5585123,guide300@trip.com,History,Jerusalem,15
301,Guide_301,050-6607320,guide301@trip.com,Culinary,North,9
302,Guide_302,050-8573113,guide302@trip.com,History,Center,22
303,Guide_303,050-9435394,guide303@trip.com,Hiking,Jerusalem,1
304,Guide_304,050-5588749,guide304@trip.com,Hiking,South,11
305,Guide_305,050-6042642,guide305@trip.com,Extreme,South,12
306,Guide_306,050-8380017,guide306@trip.com,Extreme,Jerusalem,30
307,Guide_307,050-6500494,guide307@trip.com,Culinary,Center,11
308,Guide_308,050-7189717,guide308@trip.com,Extreme,Jerusalem,20
309,Guide_309,050-4353647,guide309@trip.com,Extreme,Center,2
310,Guide_310,050-9263127,guide310@trip.com,Hiking,North,29
311,Guide_311,050-4601242,guide311@trip.com,History,Jerusalem,1
312,Guide_312,050-4479506,guide312@trip.com,History,Center,13
313,Guide_313,050-4160764,guide313@trip.com,Extreme,Jerusalem,27
314,Guide_314,050-8372201,guide314@trip.com,Culinary,Jerusalem,24
315,Guide_315,050-3983346,guide315@trip.com,Hiking,Jerusalem,11
316,Guide_316,050-3201848,guide316@trip.com,Hiking,North,18
317,Guide_317,050-1225797,guide317@trip.com,Hiking,Jerusalem,26
318,Guide_318,050-9846167,guide318@trip.com,Culinary,North,4
319,Guide_319,050-5366635,guide319@trip.com,Extreme,Center,28
320,Guide_320,050-8472369,guide320@trip.com,Hiking,South,3
321,Guide_321,050-2740337,guide321@trip.com,History,Center,6
322,Guide_322,050-8745945,guide322@trip.com,Extreme,Jerusalem,19
323,Guide_323,050-7574910,guide323@trip.com,Culinary,Jerusalem,20
324,Guide_324,050-3128267,guide324@trip.com,Extreme,Center,23
325,Guide_325,050-2495443,guide325@trip.com,Hiking,Center,30
326,Guide_326,050-1028500,guide326@trip.com,Culinary,Center,23
327,Guide_327,050-3848784,guide327@trip.com,History,Jerusalem,15
328,Guide_328,050-9376820,guide328@trip.com,Extreme,North,28
329,Guide_329,050-6879230,guide329@trip.com,Culinary,Center,1
330,Guide_330,050-3915483,guide330@trip.com,Hiking,Center,13
331,Guide_331,050-7884776,guide331@trip.com,History,North,1
332,Guide_332,050-1478790,guide332@trip.com,Extreme,North,5
333,Guide_333,050-5144022,guide333@trip.com,Culinary,North,13
334,Guide_334,050-4353953,guide334@trip.com,History,South,21
335,Guide_335,050-8828354,guide335@trip.com,Hiking,Jerusalem,17
336,Guide_336,050-6658950,guide336@trip.com,Culinary,South,14
337,Guide_337,050-8620364,guide337@trip.com,History,North,25
338,Guide_338,050-9122534,guide338@trip.com,Hiking,Jerusalem,5
339,Guide_339,050-8525306,guide339@trip.com,History,North,29
340,Guide_340,050-7920222,guide340@trip.com,Hiking,North,12
341,Guide_341,050-7615041,guide341@trip.com,Culinary,South,30
342,Guide_342,050-4882552,guide342@trip.com,History,Center,1
343,Guide_343,050-5621585,guide343@trip.com,Hiking,Center,1
344,Guide_344,050-5992231,guide344@trip.com,Extreme,Center,12
345,Guide_345,050-8410385,guide345@trip.com,History,Center,21
346,Guide_346,050-8148927,guide346@trip.com,History,North,23
347,Guide_347,050-4919764,guide347@trip.com,Culinary,North,25
348,Guide_348,050-3187807,guide348@trip.com,Culinary,South,5
349,Guide_349,050-7361150,guide349@trip.com,Extreme,Center,7
350,Guide_350,050-3414116,guide350@trip.com,History,South,25
351,Guide_351,050-8491816,guide351@trip.com,Culinary,Center,6
352,Guide_352,050-4903142,guide352@trip.com,Extreme,Jerusalem,23
353,Guide_353,050-7334932,guide353@trip.com,Culinary,Jerusalem,24
354,Guide_354,050-1391501,guide354@trip.com,Extreme,Center,12
355,Guide_355,050-9699686,guide355@trip.com,Extreme,Jerusalem,4
356,Guide_356,050-6373921,guide356@trip.com,Hiking,North,16
357,Guide_357,050-9131042,guide357@trip.com,History,South,13
358,Guide_358,050-1771021,guide358@trip.com,Extreme,Center,1
359,Guide_359,050-6317025,guide359@trip.com,Hiking,North,1
360,Guide_360,050-7553511,guide360@trip.com,Extreme,South,2
361,Guide_361,050-4817670,guide361@trip.com,Hiking,South,8
362,Guide_362,050-1496849,guide362@trip.com,Hiking,South,9
363,Guide_363,050-8121629,guide363@trip.com,Hiking,South,3
364,Guide_364,050-3157610,guide364@trip.com,Culinary,Center,17
365,Guide_365,050-7951392,guide365@trip.com,Extreme,South,21
366,Guide_366,050-5173100,guide366@trip.com,History,North,20
367,Guide_367,050-8906132,guide367@trip.com,History,Center,22
368,Guide_368,050-7696670,guide368@trip.com,History,South,15
369,Guide_369,050-6075448,guide369@trip.com,Culinary,North,22
370,Guide_370,050-1383375,guide370@trip.com,Extreme,South,10
371,Guide_371,050-7991174,guide371@trip.com,History,South,15
372,Guide_372,050-4783311,guide372@trip.com,Culinary,North,28
373,Guide_373,050-4737960,guide373@trip.com,Extreme,Center,28
374,Guide_374,050-5055501,guide374@trip.com,Extreme,North,29
375,Guide_375,050-8826993,guide375@trip.com,Hiking,North,10
376,Guide_376,050-4501876,guide376@trip.com,Hiking,North,21
377,Guide_377,050-7597367,guide377@trip.com,Extreme,South,18
378,Guide_378,050-7339102,guide378@trip.com,Hiking,South,19
379,Guide_379,050-3282345,guide379@trip.com,History,Center,12
380,Guide_380,050-6871243,guide380@trip.com,Extreme,North,27
381,Guide_381,050-3100247,guide381@trip.com,History,North,28
382,Guide_382,050-2481192,guide382@trip.com,Extreme,Jerusalem,21
383,Guide_383,050-6579679,guide383@trip.com,Culinary,North,18
384,Guide_384,050-4252745,guide384@trip.com,Culinary,North,16
385,Guide_385,050-6651680,guide385@trip.com,Hiking,Center,5
386,Guide_386,050-7868352,guide386@trip.com,Extreme,South,19
387,Guide_387,050-1593760,guide387@trip.com,Hiking,Center,22
388,Guide_388,050-8299084,guide388@trip.com,Hiking,North,19
389,Guide_389,050-3176449,guide389@trip.com,Culinary,North,16
390,Guide_390,050-2820059,guide390@trip.com,History,South,2
391,Guide_391,050-6048463,guide391@trip.com,Extreme,South,27
392,Guide_392,050-5597685,guide392@trip.com,Extreme,Center,19
393,Guide_393,050-3807601,guide393@trip.com,History,Center,13
394,Guide_394,050-2214505,guide394@trip.com,History,South,29
395,Guide_395,050-9728856,guide395@trip.com,Hiking,North,19
396,Guide_396,050-4462987,guide396@trip.com,Extreme,North,5
397,Guide_397,050-3598938,guide397@trip.com,History,Jerusalem,17
398,Guide_398,050-2901349,guide398@trip.com,Culinary,Center,30
399,Guide_399,050-3387263,guide399@trip.com,Culinary,Center,22
400,Guide_400,050-6188155,guide400@trip.com,Extreme,Center,21
401,Guide_401,050-6787003,guide401@trip.com,History,Center,18
402,Guide_402,050-3296779,guide402@trip.com,History,Center,25
403,Guide_403,050-6909649,guide403@trip.com,History,South,22
404,Guide_404,050-7229013,guide404@trip.com,Extreme,Jerusalem,23
405,Guide_405,050-6041912,guide405@trip.com,Culinary,Center,26
406,Guide_406,050-9386845,guide406@trip.com,Culinary,Center,23
407,Guide_407,050-8050292,guide407@trip.com,History,Center,9
408,Guide_408,050-6960874,guide408@trip.com,Culinary,Jerusalem,27
409,Guide_409,050-1502616,guide409@trip.com,Culinary,South,2
410,Guide_410,050-1297424,guide410@trip.com,History,South,12
411,Guide_411,050-5503545,guide411@trip.com,Hiking,Jerusalem,19
412,Guide_412,050-1384387,guide412@trip.com,Extreme,Jerusalem,11
413,Guide_413,050-2334719,guide413@trip.com,Hiking,North,2
414,Guide_414,050-8495477,guide414@trip.com,Culinary,North,15
415,Guide_415,050-7843879,guide415@trip.com,Culinary,Jerusalem,5
416,Guide_416,050-4106614,guide416@trip.com,Extreme,Center,19
417,Guide_417,050-6514168,guide417@trip.com,Extreme,South,16
418,Guide_418,050-6027540,guide418@trip.com,Culinary,North,12
419,Guide_419,050-6323302,guide419@trip.com,Culinary,Jerusalem,26
420,Guide_420,050-1053809,guide420@trip.com,Hiking,South,29
421,Guide_421,050-3395967,guide421@trip.com,History,South,30
422,Guide_422,050-8426816,guide422@trip.com,History,Jerusalem,8
423,Guide_423,050-4967816,guide423@trip.com,History,South,2
424,Guide_424,050-6748263,guide424@trip.com,Extreme,Jerusalem,20
425,Guide_425,050-7805841,guide425@trip.com,Hiking,North,17
426,Guide_426,050-5105259,guide426@trip.com,Extreme,Jerusalem,23
